Date,Value
2009-12-01,5.10878
2010-01-01,5.16618
2010-02-01,5.01268
2010-03-01,5.30036
2010-04-01,5.50736
2010-05-01,5.17770
2010-06-01,4.98787
2010-07-01,4.96222
2010-08-01,4.98930
2010-09-01,5.14068
2010-10-01,5.34884
2010-11-01,5.45967
2010-12-01,5.63122
2011-01-01,5.79880
2011-02-01,5.95372
2011-03-01,5.84851
2011-04-01,5.94175
2011-05-01,5.95318
2011-06-01,5.72622
2011-07-01,5.87939
2011-08-01,5.24226
2011-09-01,5.18047
2011-10-01,5.32400
2011-11-01,5.39869
2011-12-01,5.47182
2012-01-01,5.70824
2012-02-01,5.92342
2012-03-01,6.07167
2012-04-01,6.04934
2012-05-01,5.86444
2012-06-01,5.79145
2012-07-01,5.94854
2012-08-01,6.10409
2012-09-01,6.24816
2012-10-01,6.20717
2012-11-01,6.03035
2012-12-01,6.15120
2013-01-01,6.38986
2013-02-01,6.49236
2013-03-01,6.67649
2013-04-01,6.77620
2013-05-01,7.07155
2013-06-01,6.96411
2013-07-01,7.16477
2013-08-01,7.15378
2013-09-01,7.22422
2013-10-01,7.36095
2013-11-01,7.61871
2013-12-01,7.70187
2014-01-01,7.74522
2014-02-01,7.71411
2014-03-01,7.89535
2014-04-01,7.88379
2014-05-01,7.97646
2014-06-01,8.20756
2014-07-01,8.30786
2014-08-01,8.26047
2014-09-01,8.39334
2014-10-01,8.15935
2014-11-01,8.62751
2014-12-01,8.69523
2015-01-01,8.64092
2015-02-01,8.85152
2015-03-01,8.81333
2015-04-01,8.87067
2015-05-01,8.91213
2015-06-01,8.83225
2015-07-01,8.79696
2015-08-01,8.56986
2015-09-01,8.18675
2015-10-01,8.51545
2015-11-01,8.74150
2015-12-01,8.63723
2016-01-01,8.06700
2016-02-01,8.01965
2016-03-01,8.49425
2016-04-01,8.69054
2016-05-01,8.62573
2016-06-01,8.67684
2016-07-01,8.94817
2016-08-01,9.05014
2016-09-01,8.95118
2016-10-01,8.86678
2016-11-01,8.94515
2016-12-01,9.25407
2017-01-01,9.33266
2017-02-01,9.55034
2017-03-01,9.71008
2017-04-01,9.66728
2017-05-01,9.81852
2017-06-01,9.96792
2017-07-01,10.04175
2017-08-01,10.01326
2017-09-01,10.11631
2017-10-01,10.36955
2017-11-01,10.48633
2017-12-01,10.74760
2018-01-01,11.20925
2018-02-01,10.84800
2018-03-01,10.83285
2018-04-01,10.61637
2018-05-01,10.77812
2018-06-01,10.96766
2018-07-01,11.10364
2018-08-01,11.34601
2018-09-01,11.51343
2018-10-01,11.01871
2018-11-01,10.77397
2018-12-01,10.15858
2019-01-01,10.31923
2019-02-01,10.88393
2019-03-01,11.03288
2019-04-01,11.38933
2019-05-01,11.18812
2019-06-01,11.32044
2019-07-01,11.69621
2019-08-01,11.30510
2019-09-01,11.63278